old_id,name,description,source,url
133,"Hu CQ, Zhao JX, Jin SH. ","Immediate type anaphylaxis of streptomycin allergy elicited by streptomycin polymers. Zhongguo Yao Li Xue Bao 1989; 10(5): 424-428.","Free pdf","http://www.chinaphar.com/1671-4083/10/424.pdf"
134,"Jain VK, Mathur KC, Shukla SN, Gupta PP. ","Toxic epidermal necrolysis (Lyell""s syndrome) due to streptomycin. Indian J Chest Dis Allied Sci 1980; 22(1): 73-76.","",""
135,"Fesenko IP, Mokhon""ko IV, Zalevskaia GA.","A case of Lyell""s syndrome caused by injection of streptomycin. Vrach Delo 1988; 4: 93-94.","",""
136,"Hmouda H, Laouani-Kechrid C, Nejib Karoui M, Denguezli M, Nouira R, Ghannouchi G. ","A rare case of streptomycin-induced toxic epidermal necrolysis in a patient with tuberculosis: a therapeutic dilemma. Ann Pharmacother 2005; 39(1): 165-168.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=15546942&query_hl=44&itool=pubmed_docsum"
137,"Sarkar SK, Purohit SD, Sharma TN, Chawla MP, Gupta DN.","Stevens-Johnson syndrome caused by streptomycin. Tubercle 1982; 63(2): 137-138.","",""
138,"Kushimoto H, Aoki T. ","Toxic erythema with generalized follicular pustules caused by streptomycin. Arch Dermatol 1981; 117(7): 444-445.","",""
139,"Matsuzawa Y, Nakamura Y, Nakagawa S, Fujimoto K, Honda T, Kubo K, Kobayashi T, Sekiguchi M. ","A case of pulmonary tuberculosis associated with severe skin eruption, prominent eosinophilia, and liver dysfunction induced by streptomycin. Kekkaku 1992; 67(5): 413-417. ","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=15546942&query_hl=44&itool=pubmed_docsum"
140,"Passeron T, Ndir MC, Aubron C, Hovette P. ","Drug rash with eosinophilia and systemic symptoms (DRESS) due to streptomycin. Acta Derm Venereol 2003; 84(1): 92-93.","",""
141,"Toyoshima M, Taniguchi M, Imokawa S, Nakazawa K, Sato A, Hayakawa H, Chida K. ","A case of streptomycin-induced lupus. Kekkaku 1993; 68(4): 319-323.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=8497122&query_hl=4&itool=pubmed_docsum"
142,"Almeida AS. ","Streptomycin contact dermatitis. Rev Med Panama 1950; 19(4): 206-207.","",""
143,"Sulzberger MB, Distelheim IH. ","Allergic eczematous contact type sensitivity of equal degree to streptomycin and dihydrostreptomycin; report of a case. Arch Derm Syphilol 1950; 62(5): 706-707.","",""
144,"Mitchell HS. ","Streptomycin dermatitis. J Allergy 1951; 22(1): 71-73.","",""
145,"Sédaillan P, Maral R, Exbrayat C. ","Epidermal sensitization to streptomycin in nursing personnel. Bull Off Soc Méd Trav Lyon 1948; 9: 562-572.","",""
146,"Leoncini G. ","Occupational allergic dermatitis due to streptomycin. G Ital Della Tuberc 1950; 4(6): 451-455.","",""
147,"De Kaminsky AR, Asrilant M, Kaminsky A. ","Occupational dermatosis caused by streptomycin with luminous topography. Sem Med 1961; 119: 1777-1779.","",""
148,"Falk ES, Hektoen H, Thune PO. ","Skin and respiratory tract symptoms in veterinary surgeons. Contact Dermatitis 1985; 12(5): 274-278.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=3161687&query_hl=6&itool=pubmed_DocSum"
149,"Gauchia R, Rodriguez-Serna M, Silvestre JF, Linana JJ, Aliaga A. ","Allergic contact dermatitis from streptomycin in a cattle breed. Contact Dermatitis 1996; 35(6): 374-375.","",""
150,"Nachman R, Javid J, Krauss S. ","Streptomycin-induced hemolytic anemia. Arch Intern Med 1962; 110: 187-190.","",""
151,"Pla RP, Martin C, Odriozola J, Armengol R, Triginer J.","Immuno-allergic hemolytic anemia connected with streptomycin. Rev Fr Transfus Immunohematol 1976; 19(2): 379-382.","",""
152,"Letona JM, Barbolla L, Frieyro E, Bouza E, Gilsanz F, Fernandez MN. ","Immune haemolytic anaemia and renal failure induced by streptomycin. Br J Haematol 1977; 35(4): 561-571.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=405985&query_hl=8&itool=pubmed_DocSum"
153,"Nakahara Y, Katoh S, Yamada H, Kanetake Y, Terashima S, Tatsukawa H, Ida K, Shimazaki C, Nakagawa M. ","A successfully treated case of acute renal failure due to acute immune hemolytic anemia and nontraumatic rhabdomyolysis induced by streptomycin reinjection. Nippon Jinzo Gakkai Shi 1992; 34(11): 1233-1236.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=1294778&query_hl=8&itool=pubmed_DocSum"
154,"Jayappa HG, Loken KI. ","Effect of antimicrobial agents and corticosteroids on bovine polymorphonuclear leukocyte chemotaxis. Amer J Vet Res 1983; 44(11): 2155-2159.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=6196996&query_hl=13&itool=pubmed_docsum"
155,"Alexander JW, Good RA. ","Effect of antibiotics on the bactericidal activity of human leukocytes. J Lab Clin Immunol 1968; 71(6): 971-983.","",""
156,"Kimber I, Hilton J, Dearman RJ, Gerberick GF, Ryan CA, Basketter DA, Lea L, House RV, Ladics GS, Loveless SE, Hastings KL. ","Assessment of the skin sensitization potential of topical medicaments using the local lymph node assay: an interlaboratory evaluation. J Toxicol Environ Health A 1998; 53(7): 563-579.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=9561969&query_hl=19&itool=pubmed_docsum"
157,"Schretlen-Doherty JS, Troutman WG. ","Tobramycin-induced hypersensitivity reaction. Ann Pharmacother 1995; 29(7-8): 704-706.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=8520085&query_hl=29&itool=pubmed_docsum"
158,"Karp S, Bakris G, Cooney A, Rubinstein D, Hou SH. ","Exfoliative dermatitis secondary to tobramycin sulfate. Cutis 1991; 47(5): 331-332.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=1829999&query_hl=29&itool=pubmed_docsum"
159,"Garcia-Rubio I, Martinez-Cocera C, Robledo Echarren T, Vazquez Cortes S. ","Fixed exanthema from systemic tobramycin. J Investig Allergol Clin Immunol 2006; 16(4): 264-265.","Free pdf","http://www.jiaci.org/issues/vol16issue04/8.pdf"
160,"Menendez Ramos F, Llamas Martin R, Zarco Olivo C, Dorado Bris JM, Merino Luque MV. ","Allergic contact dermatitis from tobramycin. Contact Dermatitis 1990; 22(5): 305-306.","",""
161,"Caraffini S, Assalve D, Stingeni L, Lisi P. ","Allergic contact conjunctivitis and blepharitis from tobramycin. Contact Dermatitis 1995; 32(3): 186-187.","",""
162,"Gonzalez-Mendiola MR, Balda AG, Delgado MC, Montano PP, De Olano DG, Sanchez-Cano M.","Contact allergy from tobramycin eyedrops. Allergy 2005; 60(4): 527-528.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=15727588&query_hl=23&itool=pubmed_DocSum"
163,"Schorr WF, Ridgway HB. ","Tobramycin-neomycin cross-sensitivity. Contact Dermatitis 1977; 3(3): 133-137.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=891176&query_hl=29&itool=pubmed_DocSum"
164,"Cheer SM, Waugh J, Noble S. ","Inhaled tobramycin (TOBI): a review of its use in the management of Pseudomonas aeruginosa infections in patients with cystic fibrosis. Drugs 2003; 63(22): 2501-2520.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=14609360&query_hl=40&itool=pubmed_docsum"
165,"Garcia-Alvarez F, Monzon M, Grasa JM, Lacleriga A, Amorena B, Garcia-Alvarez I, Navarro-Zorraquino M, Alvarez FG.","Interleukin-1, interleukin-6, and interleukin-10 responses after antibiotic treatment in experimental chronic Staphylococcus aureus osteomyelitis. J Orthop Sci 2006; 11(4): 370-374.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=16897201&query_hl=23&itool=pubmed_DocSum"
166,"Ban M, Hettich D, Bonnet P. ","Effect of inhaled industrial chemicals on systemic and local immune response. Toxicology. 2003; 184(1): 41-50.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=12505375&query_hl=17&itool=pubmed_DocSum"
167,"Ban M, Langonne I, Huguet N, Pepin E, Morel G. ","Inhaled chemicals may enhance allergic airway inflammation in ovalbumin-sensitised mice. Toxicology 2006; 226(2-3): 161-171. ","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=16879906&query_hl=14&itool=pubmed_docsum"
168,"Shopp GM, Sanders VM, White KL, Munson AE.","Humoral and cell-mediated immune status of mice exposed to trans-1,2-dichloroethylene. Drug Chem Toxicol. 1985; 8(5): 393-407.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=4064950&query_hl=24&itool=pubmed_DocSum"
169,"Aranyi C, O""Shea WJ, Graham JA, Miller FJ.","The effects of inhalation of organic chemical air contaminants on murine lung host defenses. Fundam Appl Toxicol. 1986; 6(4): 713-720.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=3519345&query_hl=1&itool=pubmed_DocSum"
170,"Aziz Jalali MH, Mirzazadeh Javaheri S, Salehian P. ","Acute generalized exanthematous pustulosis due to thallium. J Eur Acad Dermatol Venereol 2004; 18(3): 321-323. ","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=15096144&query_hl=6&itool=pubmed_DocSum"
171,"Goodman S. ","Therapeutic effects of organic germanium. Med Hypotheses 1988; 26(3): 207-215.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=3043151&query_hl=1&itool=pubmed_DocSum"
172,"Suzuki F, Brutkiewicz RR, Pollard RB. ","Importance of T-cells and macrophages in the antitumor activity of carboxyethylgermanium sesquioxide (Ge-132). Anticancer Res 1985; 5(5): 479-483.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=3877491&query_hl=1&itool=pubmed_DocSum"
173,"Nakada Y, Kosaka T, Kuwabara M, Tanaka S, Sato K, Koide F. ","Effects of 2-carboxythylgerumanium sesquioxide (Ge-132) as an immunological modifier of post-surgical immunosuppression in dogs. J Vet Med Sci 1993; 55(5): 795-799.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=8286533&query_hl=24&itool=pubmed_DocSum"
174,"Ishiwata Y, Suzuki E, Yokochi S, Otsuka T, Tasaka F, Usuda H, Mitani T.","Studies on the antiviral activity of propagermanium with immunostimulating action. Arzneimittelforschung 1994; 44(3): 357-361.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=8192703&query_hl=24&itool=pubmed_DocSum"
175,"Ikemoto K, Kobayashi M, Fukumoto T, Morimatsu M, Pollard RB, Suzuki F.","2-Carboxyethylgermanium sesquioxide, a synthetic organogermanium compound, as an inducer of contrasuppressor T cells. Experientia 1996; 52(2): 159-66.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=8608818&query_hl=24&itool=pubmed_DocSum"
176,"Li AP, Dahl AR, Hill JO. ","In vitro cytotoxicity and genotoxicity of dibutyltin dichloride and dibutylgermanium dichloride. Toxicol Appl Pharmacol 1982; 64(3): 482-485.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=7150422&query_hl=31&itool=pubmed_docsum"
177,"DiMartino MJ, Lee JC, Badger AM, Muirhead KA, Mirabelli CK, Hanna N. ","Antiarthritic and immunoregulatory activity of spirogermanium. J Pharmacol Exp Ther 1986; 236(1): 103-110.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=2934544&query_hl=1&itool=pubmed_DocSum"
178,"Vogelzang NJ, Gesme DH, Kennedy BJ.","A phase II study of spirogermanium in advanced human malignancy. Am J Clin Oncol 1985; 8(4): 341-344.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=3909806&query_hl=1&itool=pubmed_DocSum"
179,"Akdis CA, Simons FE. ","Histamine receptors are hot in immunopharmacology. Eur J Pharmacol 2006; 533(1-3): 69-76.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=16448645&query_hl=59&itool=pubmed_docsum"
180,"Kumar A. ","Cimetidine: an immunomodulator. Drug Intell Clin Pharm 1990; 24(3): 289-295.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=2138376&query_hl=73&itool=pubmed_DocSum"
181,"Nielsen HJ.","Histamine-2 receptor antagonists as immunomodulators: new therapeutic views? Ann Med 1996; 28, 107-113.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=8732638&query_hl=65&itool=pubmed_docsum"
182,"Bolton E, King J, Morris DL. ","H2-antagonists in the treatment of colon and breast cancer. Semin Cancer Biol 2000; 10(1): 3-10. ","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=10888265&query_hl=65&itool=pubmed_docsum"
183,"Greve B, Hartschuh W, Raulin C. ","Lichenoid dermatitis - treatment with pulsed dye laser: a case study. Lasers Surg Med 2002; 31(1): 23-26.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=12124711&query_hl=10&itool=pubmed_docsum"
184,"Igawa K, Matsunaga T, Yokozeki H, Nishioka. ","Erythrodermic drug eruption due to roxatidine acetate hydrochloride. Clin Exp Dermatol 2005; 30(3), 304-305.","",""
185,"Horiuchi Y. ","Erythema multiforme caused by the H2-blocker, roxatidine. J Dermatol 2000; 27(5), 352-353.","",""
186,"Nishiguchi S, Tamori A, Shiomi S, Enomoto M, Tatsumi N, Koh N, Habu D, Sakaguchi H, Takeda T, Seki S, Nakamura K, Kubo S, Kinoshita H. ","Cimetidine reduces impairment of cellular immunity after transcatheter arterial embolization in patients with hepatocellular carcinoma. Hepatogastroenterology 2003; 50(50): 460-462.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=12749247&query_hl=12&itool=pubmed_DocSum"
187,"Morisset M, Moneret-Vautrin DA, Loppinet V, Grandidier S.","Cross-allergy to ranitidine and nizatidine. Allergy 2000; 55(7): 682-683.","",""
188,"Mira-Perceval JL, Ortiz JL, Sarrio F, Miralles JC, Hernandez J, Negro-Alvarez JM, Lopez-Sanchez JD, Garcia-Selles FJ, Pagan JA. ","Nizatidine anaphylaxis. J Allergy Clin Immunol 1996; 97(3): 855-856.","",""
189,"Suh JG, Oleksowicz L, Dutcher JP. ","Leukocytoclastic vasculitis associated with nizatidine therapy. Am J Med 1997; 102(2): 216-217.","",""
190,"Fukuda M, Shirasaka D, Aoyama N, Miki I, Kachi M, Morita Y, Tamura T, Kasuga M. ","No significant difference in neutrophil activation found among three H2RAs. Dig Liver Dis 2007; 39(2): 130-135.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=17161670&query_hl=8&itool=pubmed_docsum"
191,"Mikawa K, Akamatsu H, Nishina K, Shiga M, Maekawa N, Obara H, Niwa Y. ","The effects of cimetidine, ranitidine, and famotidine on human neutrophil functions. Anesth Analg 1999; 89(1): 218-224.","Free pdf","http://www.anesthesia-analgesia.org/cgi/reprint/89/1/218.pdf"
192,"Takahashi HK, Watanabe T, Yokoyama A, Iwagaki H, Yoshino T, Tanaka N, Nishibori M. ","Cimetidine induces interleukin-18 production through H2-agonist activity in monocytes. Mol Pharmacol 2006; 70(2): 450-453.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=16723495&query_hl=8&itool=pubmed_DocSum"
193,"Kubota T, Fujiwara H, Ueda Y, Itoh T, Yamashita T, Yoshimura T, Okugawa K, Yamamoto Y, Yano Y, Yamagishi H. ","Cimetidine modulates the antigen presenting capacity of dendritic cells from colorectal cancer patients. Br J Cancer 2002; 86(8): 1257-1261.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=11953882&query_hl=8&itool=pubmed_DocSum"
194,"Hahm KB, Kim WH, Lee SI, Kang JK, Park IS. ","Comparison of immunomodulative effects of the histamine-2 receptor antagonists cimetidine, ranitidine, and famotidine on peripheral blood mononuclear cells in gastric cancer patients. Scand J Gastroenterol 1995; 30(3): 265-271.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=7770717&query_hl=8&itool=pubmed_DocSum"
195,"Tsunoda T, Tanimura H, Yamaue H, Iwahashi M, Tani M, Tamai M, Arii K, Noguchi K. ","In vitro augmentation of the cytotoxic activity of peripheral blood mononuclear cells and tumor-infiltrating lymphocytes by famotidine in cancer patients. Int J Immunopharmacol 1992; 14(1): 75-81.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=1582736&query_hl=8&itool=pubmed_DocSum"
196,"Horiuchi Y, Bae SJ, Katayama I, Hayashi Y. ","Unusual erythemas with eosinophilia, caused by H2-blocker famotidine in a male patient with glioblastoma. J Dermatol 2004; 31(7): 577-579.","",""
197,"Scheinfeld N, Wesson K, Perry P, Weinberg J. ","Acute generalized exanthematous pustulosis resembling toxic epidermal necrolysis caused by famotidine. Acta Derm Venereol 2003; 83(1): 76-77.","",""
198,"Horiuchi Y, Ikezawa K. ","Famotidine-induced erythema multiforme: cross-sensitivity with cimetidine. Ann Intern Med 1999; 131(10): 795.","Free pdf","http://www.annals.org/cgi/reprint/131/10/795.pdf"
199,"Brunner M, Vardarman E, Goldermann R, Goerz G, Niederau D, Merk HF, Scharffetter-Kochanek K. ","Toxic epidermal necrolysis (Lyell syndrome) following famotidine administration. Br J Dermatol 1995; 133(5): 814-815.","",""
200,"Andreo JA, Vivancos F, Lopez VM, Soriano J. ","Leukocytoclastic vasculitis and famotidine. Med Clin 1990; 95(6): 234-235. ","",""
201,"Monteseirin J, Conde J. ","Contact eczema from famotidine. Contact Dermatitis 1990; 22(5): 290.","",""
202,"Hirayama K, Hanatsuka K, Ikeuchi T, Shida D, Ohtsuka K, Yoshimi F, Hori M, Itabashi M, Koyama A. ","Famotidine-induced acute interstitial nephritis. Nephrol Dial Transplant 1998; 13(10): 2636-2638.","",""
203,"Kallal SM, Lee M. ","Thrombotic thrombocytopenic purpura associated with histamine H2-receptor antagonist therapy. West J Med 1996; 164(5): 446-448.","Free pdf","http://www.pubmedcentral.nih.gov/picrender.fcgi?artid=1303550&blobtype=pdf"
204,"Humphries JE. ","Thrombocytopenia associated with famotidine in a hemophiliac. Ann Pharmacother 1992; 26(2): 262.","",""
205,"Zimmermann AE, Katona BG, Hrehorovich VR. ","Probable famotidine-induced thrombocytopenia. Drug Intell Clin Pharm 1991; 25(6): 678.","",""
206,"Comer JB, Evans JA, Kerns A. ","Possible famotidine-induced thrombocytopenia. Drug Intell Clin Pharm 1989; 23(6): 507-508.","",""
207,"Marcus EL, Clarfield AM, Kleinman Y, Bits H, Darmon D, Da""as N. ","Agranulocytosis associated with initiation of famotidine therapy. Ann Pharmacother 2002; 36(2): 267-271.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=11847947&query_hl=8&itool=pubmed_DocSum"
208,"Marcus EL, Clarfield AM, Kleinman Y, Bits H, Darmon D, Da""as N. ","Agranulocytosis associated with initiation of famotidine therapy. Ann Pharmacother 2002; 36(2): 267-271.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=11847947&query_hl=8&itool=pubmed_DocSum"
209,"Snyman JR, Sommers DK. ","Levamisole augments roxatidine""s immune modulatory effects in the graft-versus-host reaction (GVHR). Immunopharmacology 1992; 23(2): 125-130.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=1351047&query_hl=31&itool=pubmed_DocSum"
210,"Carretero Anibarro P, Blanco Carmona J, Garcia Gonzalez F, Garces Sotillos M, Herrero Gil D, Perez Gimenez R, Juste Picon S. ","Allergic dermatitis due to oral ebrotidine. J Investig Allergol Clin Immunol 1999; 9(3): 193-194.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=10412683&query_hl=33&itool=pubmed_docsum"
211,"Dale MM. ","The effects of metiamide on cell-mediated immune reactions in the guinea-pig. Br J Pharmacol 1977; 60(3): 441-444.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=407961&query_hl=35&itool=pubmed_DocSum"
212,"Kanny G, Beaudouin E, Moneret-Vautrin DA.","IgE-mediated allergy to granisetron and safe use of ondansetron. J Allergy Clin Immunol 2001; 108(6): 1059-1060.","",""
213,"Bousquet PJ, Co-Minh HB, Demoly P.","Isolated urticaria to ondansetron and successful treatment with granisetron. Allergy 2005; 60(4):  543-544.","",""
214,"Mikawa K, Akamatsu H, Nishina K, Shiga M, Niwa Y. ","Effects of ondansetron, granisetron, ramosetron, and azasetron on human neutrophil functions. Gynecol Obstet Invest 2002; 53(2): 93-99.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=11961382&query_hl=6&itool=pubmed_docsum"
215,"Goad JA. ","Reversible nonthrombocytopenic palpable purpura associated with metoclopramide. Ann Pharmacother 1999; 33(1): 35-37.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=9972383&query_hl=13&itool=pubmed_docsum"
216,"Upputuri S, Prasad S. ","Metoclopramide-induced delayed non-thrombocytopenic purpuric rash. Clin Drug Investig 2006; 26(12): 745-747.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=17274681&query_hl=8&itool=pubmed_DocSum"
217,"Kerstan A, Seitz CS, Brocker EB, Trautmann A. ","Anaphylaxis during treatment of nausea and vomiting: IgE-mediated metoclopramide allergy. Ann Pharmacother 2006; 40(10): 1889-1890.","",""
218,"Scala E, Giani M, Pirrotta L, Guerra EC, De Pita O, Puddu P. ","Occupational asthma due to metoclopramide hydrochloride (MCPH). Int J Immunopathol Pharmacol 2001; 14(3): 145-146.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=12604014&query_hl=8&itool=pubmed_DocSum"
219,"Roudebush RE, Berry PL, Layman NK, Butler LD, Bryant HU. ","Dissociation of immunosuppression by chlorpromazine and trifluoperazine from pharmacologic activities as dopamine antagonists. Int J Immunopharmacol 1991; 13(7): 961-968.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=1684786&query_hl=1&itool=pubmed_DocSum"
220,"Zellweger R, Wichmann MW, Ayala A, Chaudry IH. ","Metoclopramide: a novel and safe immunomodulating agent for restoring the depressed macrophage immune function after hemorrhage. J Trauma 1998; 44(1): 70-77.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=9464751&query_hl=8&itool=pubmed_DocSum "
221,"Williams WR, Davidson LA. ","Effects of therapeutic drugs on lymphocyte transformation. Br J Clin Pharmacol 1983; 15(1): 83-90.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=6849749&query_hl=11&itool=pubmed_docsum"
222,"Zerek-Melen G, Winczyk K, Kunert-Radek J, Pawlikowski M. ","Effects of metoclopramide on rat spleen lymphocyte proliferation. Biochem Biophys Res Commun 1990; 171(3): 1099-1104.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=2222430&query_hl=1&itool=pubmed_DocSum"
223,"Zhu XH, Zellweger R, Wichmann MW, Ayala A, Chaudry IH. ","Effects of prolactin and metoclopramide on macrophage cytokine gene expression in late sepsis. Cytokine 1997; 9(6): 437-446.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=9199878&query_hl=8&itool=pubmed_DocSum"
224,"Durant S, Alves V, Coulaud J, El Hasnaoui A, Dardenne M, Homo-Delarche F. ","Attempts to pharmacologically modulate prolactin levels and type 1 autoimmune diabetes in the non-obese diabetic (NOD) mouse. J Autoimmun 1995; 8(6): 875-885.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=8824712&query_hl=1&itool=pubmed_DocSum"
225,"Hughes TK, Rady PL, Smith EM.","Potential for the effects of anabolic steroid abuse in the immune and neuroendocrine axis. J Neuroimmunol 1998; 83(1-2): 162-167.","Pubmed","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=pubmed&cmd=Retrieve&dopt=AbstractPlus&list_uids=9610685&query_hl=3&itool=pubmed_docsum"
